Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
2/4/2024 21:32,فيسبوك,facebook,meta,"شركة امريكية الصنع ة داعمة للاحتلال و مالك الشركة يقوم باستغلال الأطفال 
https://www.youtube.com/watch?v=W1E9ACX0h_4",وسيلة تواصل اجتماعي,baaz.com
2/5/2024 1:45,إيسوس | ASUS,ASUS,ASUSTeK Computer Inc.,,شركة تكنولجيا,
2/5/2024 3:00,عبور لاند ,Obour land ,بور لاند للصناعات الغذائية (OLFI),ليس مقاطعة,شركة البان و منتجات غذائية,
2/5/2024 7:32,بيك رولز,Bake rolls ,إيديتا,"سلامو عليكو 

كتير مننا نشأ على أن الهوهوز والتوينكز مقا#طـعـة 100% وظل الموضوع كما هو حتى تم طرحه من جديد في الأحداث الجارية وحصل اختلاف على منتجات edita
ده ييقول يعم مصرية 100%
وده يقوله لا يعم في منتجات عندها تبع هوستس براندز الأمريكية ولازم نقا#طـعها
ف البوست ده نتاج بحث بسيط لمعرفة الحقيقة وخلينا نقسم الموضوع لكذا شق 

سؤال : هل edita مصرية ؟
الاجابة : اه الشركة مصرية 100% و ش.م.م وكل حاجة 

سؤال : طب ليه كنا بنقا#طعها؟
الاجابة : لأنها كانت بتصنع وتوزع 3 منتجات (هوهوز وتوينكز وتايجر تيل) بتوع شركة هوستس الأمريكية 

سؤال : طب ليه دلوقتي في اختلاف هل هي مقا#طـعـة ولا لا ؟
الاجابة : لأنها اشترت ال 3 علامات تجارية وخدت حقوق الملكية الفكرية ليهم في 4 دول ، وفي 2015 امتدو ل 16 دولة وبقت 3 علامات دول ملك ل edita 

سؤال : طب طالما كدة هي مصرية اهي والأمريكان ملهمش عندنا حاجة تبقى أمان ؟
الاجابة : لا وتعالى أقولك ليه 

الشركة مصرية اه يا صديقي بس تعالى نبص على حملة الأسهم (الشركاء او المستثمرين) في الشركة هما مين والكلام الآتي ذكره ده بناءا على تقرير تدقيق مالي لمؤسسة ""Grant Thornton"" وهي مؤسسة عملاقة تقدر تبحث عنها فجوجل والتقرير فديسمبر 2022 يعني مش قديم 

 Company are Quantum Investment BV holding
 42.67%
شركة اسثمارات مقرها في هولندا ودي ليها الحصة الأكبر وممثيلنها هما عائلة برزي مؤسسي edita 

 the Bank of New York Mellon (acting as depositary bank for shares traded in London Stock 
Exchange) managing 
11.7%
BNY بنك أمريكاني ومش هقول اكتر من كدة 

Kingsway Fund Frontier Consumer Franchises 
holding 
9.11%
شركة اسثمارات في لندن 
RIMCO E GT Investment LLC holding 
5.35%
شركة مصرية

وباقي الأسهم متوزعة بين اكتر من حد 

يعني ببساطة الشركة مصرية ده أكيد ، بس امريكا واكلة منها يا كبير

هنا اظن انك عرفت جزء كبير من الحقيقة ، لو لسة حابب تشتري هوهوز وتوينكز افتكر أنه كان شعره كيرلي وأبيضاني وحلو ..

المشكلة هنا مش فالاستثمارات الاجنبية اطلاقا _ولو ان لو كان المنتج مصري بالكلية ده هيكون أفضل أكيد_
المشكلة هنا بس فالاستثمارات الأمريكية تحديدا

- منقول.",منتج غذائي,"جاجوار
بيج شيبس
فوكس
تايجر 
"
2/5/2024 10:11,Samsung Inc.,Samsung,Samsung,لان شركه سامسونج معترفه بوجود فلسطين و لديها سيرفر الدوله فى موقعها عكس ابل تدعم الكيان و لا تعترف بفلسطين,Samsung,
2/5/2024 11:43,إيتورو,eToro,,https://en.wikipedia.org/wiki/EToro,,
2/5/2024 13:23,Avon,Avon,Natura &Co,,عطور و تجميل,🌚ماعرف
2/5/2024 15:09,"نيزورالNizoral
نيتروجينا Neutrogena ","Nizoral, Neutrogena ",Johnson and Johnson ,"https://pbs.twimg.com/media/F2eTiYdaMAAT2Fw.j
انظر في هذه الصورة للمنتجات الداعمة لإسرائيل، تحت شركة جونسون اند جونسون وستجد شامبو نيزورال ونتيتروجينيا (غسول للبشرة الدهنية)",نيتروجينا-عناية بالبشرة الدهنية  ، نيزورال-شامبو للقشرة,
2/5/2024 17:04,كيلوجز,Kellogg's,Kellanova,باعو شركة لهم في فلسطين لشركة اخرى اسرائيلية,وجبات سريعة التحضير,اندومي
2/5/2024 17:11,هولو,Hulu,The Walt Disney Company,https://x.com/LumpyLouish/status/1751042267043762630?s=20,خدمة افلام و مسلسلات,
